root,clause,Agent,Attribute,Cause,Circumstance,Degree,Entity,FinalCategory,FinalValue,InitialCategory,InitialValue,Manner,Means,Place,Purpose,Time
Alter,The ship 's course was ALTERED to north-northeast to enable HMS Impregnable to clear the notorious Bembridge ledges,,ship's course,,,,,,North-northeast,,,,,,enable HMS Impregnable ,
Alter,They were nearly all ALTERED in the seventeenth and eighteenth centuries,,,,,,they,,,,,,,,,the seventeenth and eighteenth centruries
Alter,The originator can no longer ALTER the contents of the DC,originator,,,,,contents of the DC,,,,,,,,,
Alter,The changes won't ALTER things too much,,,changes,,,things,,,,,,,,,
Alter, technology has ALTERED the source of profits in the total system of supply,,,technology,,,source of profits in the total system of supply,,,,,,,,,
Alter,The government subsequently ALTERED its estimate of those able to claim ,government,its estimate of those able to claim,,,,,,,,,,,,,subsquently
Alter,The doppler effect ALTERS the frequency of light seen by the moving atoms ,,the frequency of light,doppler effect,,,,,,,,,,,,
Alter,This position may be ALTERED by agreement ,,,,,,this position,,,,,,agreement,,,
Alter,This will radically ALTER the use of videoconferencing ,,use of videoconferencing,this,,,,,,,,,,,,
Alter,She had tried to ALTER the manner in which the Persepolis celebrations were conducted,she,the manner,,,,,,,,,,,,,
Change,He CHANGED the name to Lionheart,he,the name,,,,,,lionheart,,,,,,,
Change,she CHANGED the subject ,she,subject,,,,,,,,,,,,,
Change,they CHANGED their mind,they,mind,,,,,,,,,,,,,
Change,Smith CHANGED his name by deed poll to Jervis-Smith,smith,his name,,,,,,Jervis-smith,,,,deed poll,,,
Change,The rules have been CHANGED this season to give fans of Second Division sides the opportunity to see first-class opponents ,,rules,,,,,,,,,,,,to gives fans of second division,this season
Change,Theo was soon CHANGED into the loving father he believed was his due ,,,,,,Theo,loving father,,,,,,,,
Change,Mokosh CHANGED herself into a raven,Mokosh,,,,,herself,raven,,,,,,,,
Change,she decided to CHANGE the gender of the main character from male to female,she,gender of the main character,,,,,,female,,male,,,,,
Change,he later CHANGED his spots enough to insist on Leopardcover as a condition of accepting the market 's chairmanship,he,,,,,his spots,,,,,,,,,later
Change,New construction in the past 10 years has CHANGED the city 's skyline,,,new construction,,,city's skyline,,,,,,,,,
Convert,small pendentives convert the octagon to a circle,,,small pendentives,,,octagon,circle,,,,,,,,
Convert,Hot water is vonverted to electricity by turbine made in Israel ,,,turbine,,,hot water,electricity,,,,,,,,
Deform,they don't literally try to DEFORM the old physical object into the new one ,they,,,,,old physical ,,,new one,,,,,,
