alter,,
change,,
conversion,,
convert,,
deform,,
make,,
modification,,
modify,,
reshape,,
shift,,
rtransform,,
turn,,
vary,,
variation,,
because,,
because of,,
bring about,,
bring out,,
causative,,
cause,,
cause,,
consequence,,
consequent,,
dictate,,
due to,,
for,,
force,,
induce,,
lead to,,
leave,,
make,,
motivate,,a
precipitate,,
put,,
raise,,
reason,,
render,,
responsible,,
result in,,
add,,
crank,,
curtail,,
cut,,
decrease,,
development,,
diminish,,
doule,,
enhance,,
growth,,
increase,,
knock down,,
lift,,
lower,,
move,,
promote,,
push,,
raise,,
reduction,,
slash,,
swell,,
